vo2max,gender,age,age_low,age_high
37.98,1.0,18.0,10.0,19.0
39.2,1.0,30.0,30.0,39.0
31.68,0.0,37.0,30.0,39.0
37.9,1.0,40.0,40.0,49.0
33.94,1.0,24.0,20.0,29.0
30.96,0.0,15.0,10.0,19.0
30.16,0.0,24.0,20.0,29.0
41.46,0.0,12.0,10.0,19.0
39.69,1.0,17.0,10.0,19.0
43.02,1.0,21.0,20.0,29.0
24.69,0.0,26.0,20.0,29.0
24.92,0.0,17.0,10.0,19.0
32.02,0.0,17.0,10.0,19.0
26.32,0.0,17.0,10.0,19.0
44.63,1.0,21.0,20.0,29.0
64.31,1.0,14.0,10.0,19.0
40.06,1.0,22.0,20.0,29.0
48.3,1.0,36.0,30.0,39.0
33.2,0.0,14.0,10.0,19.0
38.69,1.0,15.0,10.0,19.0
39.88,1.0,19.0,10.0,19.0
40.81,1.0,14.0,10.0,19.0
33.11,1.0,42.0,40.0,49.0
50.75,1.0,37.0,30.0,39.0
36.55,1.0,36.0,30.0,39.0
37.3,1.0,46.0,40.0,49.0
44.05,0.0,14.0,10.0,19.0
49.63,1.0,15.0,10.0,19.0
40.07,1.0,25.0,20.0,29.0
31.4,0.0,39.0,30.0,39.0
43.71,1.0,17.0,10.0,19.0
32.14,0.0,21.0,20.0,29.0
37.95,1.0,41.0,40.0,49.0
28.96,0.0,17.0,10.0,19.0
34.91,1.0,23.0,20.0,29.0
44.23,1.0,26.0,20.0,29.0
46.84,1.0,48.0,40.0,49.0
48.74,0.0,12.0,10.0,19.0
36.52,0.0,14.0,10.0,19.0
33.46,0.0,19.0,10.0,19.0
61.06,1.0,15.0,10.0,19.0
50.65,0.0,34.0,30.0,39.0
40.8,1.0,12.0,10.0,19.0
41.57,1.0,23.0,20.0,29.0
40.63,0.0,14.0,10.0,19.0
59.1,0.0,19.0,10.0,19.0
51.65,1.0,17.0,10.0,19.0
31.57,0.0,17.0,10.0,19.0
37.6,1.0,38.0,30.0,39.0
47.6,1.0,13.0,10.0,19.0
54.35,0.0,14.0,10.0,19.0
29.78,0.0,16.0,10.0,19.0
45.24,1.0,15.0,10.0,19.0
29.08,0.0,14.0,10.0,19.0
38.34,1.0,18.0,10.0,19.0
50.55,0.0,22.0,20.0,29.0
43.04,1.0,42.0,40.0,49.0
38.37,0.0,12.0,10.0,19.0
56.05,1.0,21.0,20.0,29.0
53.14,1.0,12.0,10.0,19.0
31.44,0.0,19.0,10.0,19.0
44.17,1.0,25.0,20.0,29.0
46.67,1.0,14.0,10.0,19.0
29.86,0.0,34.0,30.0,39.0
42.5,1.0,13.0,10.0,19.0
43.02,0.0,17.0,10.0,19.0
44.81,1.0,13.0,10.0,19.0
30.67,0.0,12.0,10.0,19.0
50.39,0.0,21.0,20.0,29.0
31.02,0.0,36.0,30.0,39.0
39.71,0.0,18.0,10.0,19.0
35.35,1.0,12.0,10.0,19.0
29.85,0.0,22.0,20.0,29.0
32.26,0.0,14.0,10.0,19.0
41.17,0.0,14.0,10.0,19.0
37.1,1.0,16.0,10.0,19.0
34.07,0.0,28.0,20.0,29.0
37.68,1.0,30.0,30.0,39.0
47.6,1.0,13.0,10.0,19.0
37.62,1.0,49.0,40.0,49.0
29.39,0.0,19.0,10.0,19.0
35.45,1.0,14.0,10.0,19.0
47.6,1.0,14.0,10.0,19.0
43.41,1.0,23.0,20.0,29.0
39.05,1.0,17.0,10.0,19.0
34.96,1.0,16.0,10.0,19.0
42.83,1.0,30.0,30.0,39.0
37.56,0.0,18.0,10.0,19.0
35.84,0.0,16.0,10.0,19.0
30.79,0.0,23.0,20.0,29.0
37.7,1.0,12.0,10.0,19.0
39.04,1.0,33.0,30.0,39.0
42.29,1.0,21.0,20.0,29.0
55.7,1.0,31.0,30.0,39.0
39.66,0.0,14.0,10.0,19.0
30.8,0.0,28.0,20.0,29.0
32.39,0.0,18.0,10.0,19.0
43.03,1.0,16.0,10.0,19.0
47.6,0.0,21.0,20.0,29.0
59.16,1.0,17.0,10.0,19.0
39.27,1.0,14.0,10.0,19.0
107.0,1.0,31.0,30.0,39.0
58.53,1.0,16.0,10.0,19.0
41.78,1.0,17.0,10.0,19.0
31.56,0.0,14.0,10.0,19.0
52.87,1.0,17.0,10.0,19.0
34.77,0.0,16.0,10.0,19.0
67.85,1.0,13.0,10.0,19.0
26.6,0.0,22.0,20.0,29.0
31.67,0.0,16.0,10.0,19.0
33.96,0.0,25.0,20.0,29.0
45.29,1.0,12.0,10.0,19.0
49.91,1.0,13.0,10.0,19.0
32.38,0.0,14.0,10.0,19.0
38.57,0.0,49.0,40.0,49.0
59.3,0.0,18.0,10.0,19.0
33.4,0.0,13.0,10.0,19.0
36.7,1.0,46.0,40.0,49.0
29.1,0.0,17.0,10.0,19.0
42.2,1.0,21.0,20.0,29.0
31.48,0.0,15.0,10.0,19.0
57.6,0.0,16.0,10.0,19.0
49.19,1.0,14.0,10.0,19.0
67.4,1.0,16.0,10.0,19.0
44.25,0.0,15.0,10.0,19.0
27.52,1.0,46.0,40.0,49.0
29.9,0.0,21.0,20.0,29.0
40.56,1.0,15.0,10.0,19.0
44.08,1.0,34.0,30.0,39.0
30.79,0.0,27.0,20.0,29.0
35.0,0.0,13.0,10.0,19.0
30.59,0.0,37.0,30.0,39.0
36.15,0.0,47.0,40.0,49.0
74.39,1.0,16.0,10.0,19.0
40.71,1.0,45.0,40.0,49.0
37.12,1.0,28.0,20.0,29.0
25.54,1.0,13.0,10.0,19.0
54.29,0.0,12.0,10.0,19.0
35.37,0.0,24.0,20.0,29.0
48.76,1.0,26.0,20.0,29.0
48.57,1.0,18.0,10.0,19.0
38.07,0.0,13.0,10.0,19.0
37.91,1.0,39.0,30.0,39.0
62.14,1.0,29.0,20.0,29.0
36.46,0.0,21.0,20.0,29.0
62.0,1.0,16.0,10.0,19.0
40.82,1.0,40.0,40.0,49.0
37.97,1.0,15.0,10.0,19.0
46.6,0.0,17.0,10.0,19.0
47.17,1.0,30.0,30.0,39.0
35.47,0.0,18.0,10.0,19.0
51.47,1.0,14.0,10.0,19.0
34.87,0.0,15.0,10.0,19.0
33.14,0.0,21.0,20.0,29.0
33.2,1.0,17.0,10.0,19.0
40.6,0.0,13.0,10.0,19.0
52.74,0.0,15.0,10.0,19.0
60.46,1.0,12.0,10.0,19.0
54.2,0.0,38.0,30.0,39.0
45.25,1.0,18.0,10.0,19.0
33.52,0.0,15.0,10.0,19.0
46.55,1.0,16.0,10.0,19.0
46.38,1.0,20.0,20.0,29.0
42.68,0.0,12.0,10.0,19.0
40.31,1.0,15.0,10.0,19.0
33.97,1.0,44.0,40.0,49.0
46.31,0.0,27.0,20.0,29.0
49.48,0.0,14.0,10.0,19.0
44.16,1.0,16.0,10.0,19.0
48.25,1.0,19.0,10.0,19.0
40.9,1.0,13.0,10.0,19.0
47.6,1.0,37.0,30.0,39.0
31.48,1.0,24.0,20.0,29.0
37.4,1.0,39.0,30.0,39.0
33.9,0.0,43.0,40.0,49.0
40.02,1.0,12.0,10.0,19.0
26.13,0.0,34.0,30.0,39.0
40.36,0.0,41.0,40.0,49.0
28.56,0.0,29.0,20.0,29.0
41.89,0.0,22.0,20.0,29.0
45.3,1.0,44.0,40.0,49.0
38.09,1.0,33.0,30.0,39.0
49.1,1.0,31.0,30.0,39.0
38.77,0.0,14.0,10.0,19.0
35.64,0.0,12.0,10.0,19.0
40.81,0.0,43.0,40.0,49.0
33.53,1.0,31.0,30.0,39.0
34.96,0.0,18.0,10.0,19.0
